lon,lat,date,mgrs,scene,max_b12,avg_b12,max_b11,b12_b11_ratio,peakedness,pixels,warm_size,saturated,sun_elevation,sun_azimuth,glint_angle,glint_score
51.49631533812157,25.95351387577605,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.33899998664855957,0.30008000135421753,0.3946000039577484,0.859097778125866,1.1296986974096968,5,18716,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.49231941146252,25.95334692178784,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.34700000286102295,0.33832500129938126,0.427700012922287,0.811316325407904,1.0256410301583514,4,18674,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.49551554717917,25.953336020535723,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3375000059604645,0.3231666684150696,0.41839998960494995,0.8066443937513703,1.044352771947958,3,18723,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.48452808368888,25.953192606184736,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.301800012588501,0.2828500121831894,0.40630000829696655,0.74280090185948,1.0669966398765383,2,18875,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.48572292903406,25.95228563159247,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3422999978065491,0.2896910474371554,0.4422000050544739,0.7740841110220741,1.1816036457971884,67,18706,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.490119075753036,25.952632008465745,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.39340001344680786,0.3038289476382105,0.477400004863739,0.8240469405924982,1.2948075438659505,38,18260,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.50070162412212,25.951512240773386,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3824000060558319,0.28035113554109226,0.5187000036239624,0.7372276911203903,1.3640037709060104,88,18360,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.49551403503711,25.95297483732933,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.32170000672340393,0.26944999769330025,0.38499999046325684,0.8355844537458657,1.1939135627292783,8,18796,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.480131196949344,25.952665467640767,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.4169999957084656,0.3243499994277954,0.5026000142097473,0.8296856027036268,1.2856482085528576,60,17875,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.48312903676187,25.95301668610544,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.30630001425743103,0.2871500104665756,0.37619999051094055,0.8141946357878053,1.0666898941070542,2,18856,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.4798897106706,25.9423723764355,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.6937999725341797,0.3160664753122039,0.48969998955726624,1.4167857613422425,2.195107759685232,13760,18,0,73.7482538222865,96.7815477922789,16.2517461777135,1
